2026-03-18 15:07:52,894 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Springer=1)
2026-03-18 15:07:52,894 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1007/s10661-010-1752-5
2026-03-18 15:07:52,900 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:07:56,883 | INFO | auto_paper_download.clients | Springer DOI 10.1007/s10661-010-1752-5 跳过：需订阅访问，手动登录后再获取 PDF。
2026-03-18 15:07:56,901 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:07:56,901 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:07:56,901 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.2166/aqua.2007.029
2026-03-18 15:07:56,904 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:08:10,179 | WARNING | auto_paper_download.clients | Skipping 10.2166/aqua.2007.029 (Crossref)：No PDF link found via Crossref for DOI 10.2166/aqua.2007.029
2026-03-18 15:08:10,181 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:08:10,181 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:08:10,182 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.4314/ejesm.v6i4.9
2026-03-18 15:08:10,183 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:08:23,792 | WARNING | auto_paper_download.clients | Skipping 10.4314/ejesm.v6i4.9 (Crossref)：No PDF link found via Crossref for DOI 10.4314/ejesm.v6i4.9
2026-03-18 15:08:23,794 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:08:23,795 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Elsevier=1)
2026-03-18 15:08:23,795 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1016/j.ecoenv.2015.03.011
2026-03-18 15:08:23,797 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:08:30,578 | INFO | auto_paper_download.supplements | No supplementary candidates detected for DOI 10.1016/j.ecoenv.2015.03.011
2026-03-18 15:08:32,088 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:08:32,088 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Springer=1)
2026-03-18 15:08:32,088 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1007/s13762-013-0277-1
2026-03-18 15:08:32,093 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:08:38,552 | INFO | auto_paper_download.clients | Springer DOI 10.1007/s13762-013-0277-1 跳过：需订阅访问，手动登录后再获取 PDF。
2026-03-18 15:08:38,577 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:08:38,581 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:08:38,582 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.2166/wh.2008.231
2026-03-18 15:08:38,585 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:09:04,037 | WARNING | auto_paper_download.clients | Skipping 10.2166/wh.2008.231 (Crossref)：Crossref download blocked by Cloudflare (403) for DOI 10.2166/wh.2008.231
2026-03-18 15:09:04,039 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:09:04,040 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:09:04,040 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1590/s1516-93322003000200010
2026-03-18 15:09:04,041 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:09:12,835 | INFO | auto_paper_download.supplements | No supplementary candidates detected for DOI 10.1590/s1516-93322003000200010
2026-03-18 15:09:14,341 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:09:14,341 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:09:14,341 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.5194/egusphere-egu24-10984
2026-03-18 15:09:14,343 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:09:29,867 | WARNING | auto_paper_download.clients | Skipping 10.5194/egusphere-egu24-10984 (Crossref)：No PDF link found via Crossref for DOI 10.5194/egusphere-egu24-10984
2026-03-18 15:09:29,868 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:09:29,869 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Springer=1)
2026-03-18 15:09:29,869 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1007/s10661-008-0273-y
2026-03-18 15:09:29,876 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:09:33,769 | INFO | auto_paper_download.clients | Springer DOI 10.1007/s10661-008-0273-y 跳过：需订阅访问，手动登录后再获取 PDF。
2026-03-18 15:09:33,784 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:09:33,784 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Springer=1)
2026-03-18 15:09:33,785 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1007/s10661-018-6909-7
